"동별(1)",동별(2),동별(3),2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",마포구,망원2동,8396,18376,8551,9825,18170,8477,9693,206,74,132
"합계",마포구,연남동,8460,15439,7229,8210,14455,6848,7607,984,381,603
"합계",마포구,성산1동,9426,18982,8854,10128,18626,8705,9921,356,149,207
"합계",마포구,성산2동,19505,39336,17488,21848,39014,17393,21621,322,95,227
"합계",마포구,상암동,12720,30705,14462,16243,29976,14135,15841,729,327,402
"합계",마포구,도화동,9299,20921,9951,10970,20673,9834,10839,248,117,131
"합계",마포구,서강동,12147,25523,12019,13504,24650,11754,12896,873,265,608
"합계",마포구,공덕동,18651,37382,17483,19899,36740,17169,19571,642,314,328
"합계",마포구,아현동,11713,28482,13308,15174,27976,13090,14886,506,218,288
"합계",양천구,소계,181057,441987,215739,226248,438848,214455,224393,3139,1284,1855
"합계",양천구,목1동,10324,30392,14600,15792,30245,14525,15720,147,75,72
"합계",양천구,목2동,13336,29336,14167,15169,29119,14083,15036,217,84,133
"합계",양천구,목3동,10081,21571,10266,11305,21426,10204,11222,145,62,83
"합계",양천구,목4동,10016,24798,12113,12685,24635,12051,12584,163,62,101
"합계",양천구,신월1동,10244,20171,10279,9892,19902,10178,9724,269,101,168
"합계",양천구,신월2동,8531,20606,10056,10550,20451,9996,10455,155,60,95
"합계",양천구,신월3동,7825,14809,7760,7049,14625,7673,6952,184,87,97
"합계",양천구,신월4동,6855,17677,8572,9105,17576,8545,9031,101,27,74
"합계",양천구,신월5동,6406,14333,7098,7235,14214,7055,7159,119,43,76
"합계",양천구,신월6동,5372,13941,6810,7131,13883,6787,7096,58,23,35
"합계",양천구,신월7동,8986,18971,9231,9740,18837,9194,9643,134,37,97
"합계",양천구,신정1동,6983,19939,9681,10258,19836,9632,10204,103,49,54
"합계",양천구,신정2동,6861,18924,9298,9626,18831,9254,9577,93,44,49
"합계",양천구,신정3동,19804,50496,24414,26082,50164,24272,25892,332,142,190
"합계",양천구,신정6동,8178,24007,11652,12355,23985,11642,12343,22,10,12
"합계",양천구,신정7동,11488,28497,13698,14799,28337,13622,14715,160,76,84
"합계",양천구,목5동,13386,40646,20118,20528,40547,20072,20475,99,46,53
"합계",양천구,신정4동,16381,32873,15926,16947,32235,15670,16565,638,256,382
"합계",강서구,소계,274428,573334,274770,298564,567883,272404,295479,5451,2366,3085
"합계",강서구,염창동,16491,41482,19967,21515,41348,19899,21449,134,68,66
"합계",강서구,등촌1동,14123,25037,11504,13533,24811,11438,13373,226,66,160
"합계",강서구,등촌2동,8563,19697,9550,10147,19574,9499,10075,123,51,72
"합계",강서구,등촌3동,15061,29773,14073,15700,29611,14011,15600,162,62,100
"합계",강서구,화곡본동,17478,33884,16358,17526,33507,16215,17292,377,143,234
"합계",강서구,화곡2동,8250,17697,8511,9186,17417,8406,9011,280,105,175
"합계",강서구,화곡3동,9730,21434,10200,11234,21301,10148,11153,133,52,81
"합계",강서구,화곡4동,9691,20266,9920,10346,19987,9802,10185,279,118,161
"합계",강서구,화곡6동,13174,25263,12055,13208,24992,11955,13037,271,100,171
"합계",강서구,화곡8동,11832,24270,11688,12582,23878,11511,12367,392,177,215
